               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.024056,            0.018734,            0.002393,             0.77552,             0.58265,             0.63133,             0.39901,            0.030961,             0.01479,           0.0088809,           0.0087804,           0.0087804,           0.0087804
                  74,            0.025094,            0.018235,           0.0022382,              0.7644,             0.60999,             0.66462,             0.41505,            0.031758,             0.01529,           0.0077099,           0.0087479,           0.0087479,           0.0087479
                  75,            0.023716,            0.017918,           0.0021223,              0.8645,             0.57654,              0.6623,             0.41211,            0.029586,            0.014806,           0.0090571,           0.0087151,           0.0087151,           0.0087151
                  76,            0.023966,             0.01896,           0.0022415,             0.71517,             0.58061,             0.59039,             0.37022,            0.030144,             0.01478,           0.0098991,            0.008682,            0.008682,            0.008682
                  77,            0.023545,            0.018802,           0.0021486,             0.77442,             0.58622,              0.6237,             0.38095,            0.030431,            0.014932,           0.0092305,           0.0086485,           0.0086485,           0.0086485
                  78,            0.023843,            0.017931,           0.0022838,             0.72772,             0.63693,             0.67338,             0.40453,            0.030772,            0.014952,            0.008146,           0.0086146,           0.0086146,           0.0086146
                  79,            0.023413,            0.017743,           0.0020781,             0.75993,             0.62183,             0.67035,             0.41891,             0.03046,            0.014802,           0.0095083,           0.0085805,           0.0085805,           0.0085805
                  80,            0.022952,            0.017815,           0.0019525,             0.79946,             0.69234,             0.72347,             0.46197,            0.030128,            0.014722,           0.0070015,           0.0085459,           0.0085459,           0.0085459
                  81,            0.022216,            0.018164,           0.0020275,             0.78611,             0.63071,             0.66497,             0.40419,            0.030534,            0.014268,            0.008546,           0.0085111,           0.0085111,           0.0085111
                  82,            0.022437,            0.017888,            0.001857,             0.85866,             0.56999,             0.66779,             0.42442,            0.028617,            0.014483,           0.0085993,           0.0084759,           0.0084759,           0.0084759
                  83,             0.02236,            0.018351,           0.0018316,             0.76928,              0.6459,             0.67939,             0.43661,            0.029256,             0.01509,           0.0086641,           0.0084404,           0.0084404,           0.0084404
