               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.034567,            0.023566,            0.004237,             0.67848,             0.60711,             0.60957,             0.33394,            0.033607,            0.013842,           0.0091126,           0.0062229,           0.0062229,            0.039123
                  56,            0.033229,            0.022157,           0.0038818,             0.78988,             0.56505,             0.58125,             0.33041,            0.033939,            0.014408,           0.0087833,           0.0063165,           0.0063165,            0.038016
                  57,            0.035534,            0.023107,           0.0037911,             0.71054,             0.60953,             0.60813,             0.33164,            0.035419,            0.014298,           0.0090734,           0.0064092,           0.0064092,            0.036909
                  58,            0.036869,            0.023291,           0.0036751,             0.71228,             0.60058,             0.60296,             0.33328,            0.037562,            0.014876,           0.0089794,            0.006501,            0.006501,            0.035801
                  59,            0.035771,            0.022695,           0.0038558,             0.71298,             0.56728,             0.57865,             0.32385,            0.034945,            0.014063,           0.0095407,           0.0065918,           0.0065918,            0.034692
                  60,            0.036103,            0.022302,           0.0036954,             0.83224,             0.53933,             0.54797,              0.3128,            0.034006,            0.013839,           0.0099622,           0.0066818,           0.0066818,            0.033582
                  61,            0.034261,            0.022223,           0.0034566,             0.72806,             0.58672,             0.61552,             0.35718,            0.033693,            0.014852,           0.0095945,           0.0067707,           0.0067707,            0.032471
                  62,            0.034987,            0.021943,           0.0037057,             0.81727,             0.61954,              0.6474,             0.35645,            0.034967,            0.014756,           0.0086072,           0.0068587,           0.0068587,            0.031359
                  63,            0.032686,            0.022287,            0.003282,             0.75432,             0.63509,             0.66129,             0.37103,            0.033956,            0.015122,           0.0078981,           0.0069457,           0.0069457,            0.030246
                  64,            0.033798,            0.022287,           0.0032601,             0.73289,             0.51565,             0.55481,             0.29443,            0.036447,            0.014566,            0.010041,           0.0070317,           0.0070317,            0.029132
                  65,            0.033587,            0.022163,           0.0033681,             0.72105,             0.62239,             0.63656,              0.3612,            0.033669,            0.014304,           0.0087959,           0.0071168,           0.0071168,            0.028017
                  66,            0.032352,             0.02197,           0.0032244,             0.82862,             0.60111,             0.64089,             0.36188,            0.033097,            0.014415,           0.0080062,           0.0072007,           0.0072007,            0.026901
